product_id,name,sku,description,image_file,pricing_json,boxes
PROD001,Premium T-Shirt - Black,TSHIRT-18500-BLACK,Premium cotton t-shirt with custom logo,18500_Black_Flat_Front-01_big_back.png,"[{""minQty"":1,""maxQty"":9,""price"":29.99},{""minQty"":10,""maxQty"":49,""price"":26.99},{""minQty"":50,""maxQty"":99,""price"":23.99},{""minQty"":100,""maxQty"":null,""price"":19.99}]","{""boxes"": []}"
PROD002,Premium T-Shirt - Dark Chocolate,TSHIRT-18500-CHOC,Premium cotton t-shirt in dark chocolate with custom logo,18500_Dark Chocolate_Flat_Front-01_big_back.png,"[{""minQty"":1,""maxQty"":9,""price"":29.99},{""minQty"":10,""maxQty"":49,""price"":26.99},{""minQty"":50,""maxQty"":99,""price"":23.99},{""minQty"":100,""maxQty"":null,""price"":19.99}]","{""boxes"": []}"
PROD003,Classic T-Shirt - Black,TSHIRT-2000-BLACK,Classic fit t-shirt with custom logo,2000_black_flat_front-01_right_chest.png,"[{""minQty"":1,""maxQty"":19,""price"":24.99},{""minQty"":20,""maxQty"":99,""price"":21.99},{""minQty"":100,""maxQty"":499,""price"":18.99},{""minQty"":500,""maxQty"":null,""price"":15.99}]","{""boxes"": []}"
PROD004,Classic T-Shirt - Charcoal,TSHIRT-2000-CHARCOAL,Classic fit charcoal t-shirt with custom logo,2000_charcoal_flat_front-01_right_chest.png,"[{""minQty"":1,""maxQty"":19,""price"":24.99},{""minQty"":20,""maxQty"":99,""price"":21.99},{""minQty"":100,""maxQty"":499,""price"":18.99},{""minQty"":500,""maxQty"":null,""price"":15.99}]","{""boxes"": []}"
PROD005,Heavy Cotton T-Shirt - Black,TSHIRT-5400-BLACK,Heavy cotton t-shirt with custom logo,5400_black_flat_front-01_right_chest.png,"[{""minQty"":1,""maxQty"":24,""price"":19.99},{""minQty"":25,""maxQty"":99,""price"":17.99},{""minQty"":100,""maxQty"":999,""price"":14.99},{""minQty"":1000,""maxQty"":null,""price"":12.99}]","{""boxes"": []}"
PROD006,Canvas T-Shirt - Duck Brown,CSV40-DUCKBROWN,Canvas v-neck t-shirt in duck brown with custom logo,CSV40_duckbrown_flat_front-01_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":22.99},{""minQty"":50,""maxQty"":249,""price"":19.99},{""minQty"":250,""maxQty"":999,""price"":16.99},{""minQty"":1000,""maxQty"":null,""price"":14.99}]","{""boxes"": []}"
PROD007,Safety T-Shirt - Yellow,CSV106-SAFETY,High visibility safety yellow t-shirt with custom logo,CSV106_safetyyellow_flat_front_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":18.99},{""minQty"":50,""maxQty"":249,""price"":16.99},{""minQty"":250,""maxQty"":999,""price"":14.99},{""minQty"":1000,""maxQty"":null,""price"":12.99}]","{""boxes"": []}"
PROD008,Casual T-Shirt - Black,CT104050-BLACK,Casual black t-shirt with custom logo,CT104050_black_flat_front-01_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":26.99},{""minQty"":50,""maxQty"":249,""price"":23.99},{""minQty"":250,""maxQty"":999,""price"":20.99},{""minQty"":1000,""maxQty"":null,""price"":17.99}]","{""boxes"": []}"
PROD009,Casual T-Shirt - Carhartt Brown,CT104050-BROWN,Casual Carhartt brown t-shirt with custom logo,CT104050_carharttbrown_flat_front-01_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":26.99},{""minQty"":50,""maxQty"":249,""price"":23.99},{""minQty"":250,""maxQty"":999,""price"":20.99},{""minQty"":1000,""maxQty"":null,""price"":17.99}]","{""boxes"": []}"
PROD010,Fashion T-Shirt - Black,F170-BLACK,Fashion fit black t-shirt with custom logo,F170_Black_flat_front-01_big_back.png,"[{""minQty"":1,""maxQty"":49,""price"":21.99},{""minQty"":50,""maxQty"":249,""price"":19.99},{""minQty"":250,""maxQty"":999,""price"":16.99},{""minQty"":1000,""maxQty"":null,""price"":14.99}]","{""boxes"": []}"
PROD011,Heavy Blend T-Shirt - Black,G2400-BLACK,Heavy blend black t-shirt with custom logo,G2400_Black_flat_front-01_big_back.png,"[{""minQty"":1,""maxQty"":49,""price"":23.99},{""minQty"":50,""maxQty"":249,""price"":20.99},{""minQty"":250,""maxQty"":999,""price"":17.99},{""minQty"":1000,""maxQty"":null,""price"":15.99}]","{""boxes"": []}"
PROD012,Heavy Blend T-Shirt - Charcoal,G2400-CHARCOAL,Heavy blend charcoal t-shirt with custom logo,G2400_charcoal_flat_front-01_big_back.png,"[{""minQty"":1,""maxQty"":49,""price"":23.99},{""minQty"":50,""maxQty"":249,""price"":20.99},{""minQty"":250,""maxQty"":999,""price"":17.99},{""minQty"":1000,""maxQty"":null,""price"":15.99}]","{""boxes"": []}"
PROD013,Heavy Blend T-Shirt - Dark Chocolate,G2400-DARKCHOC,Heavy blend dark chocolate t-shirt with custom logo,G2400_darkchocolate_flat_front-01_big_back.png,"[{""minQty"":1,""maxQty"":49,""price"":23.99},{""minQty"":50,""maxQty"":249,""price"":20.99},{""minQty"":250,""maxQty"":999,""price"":17.99},{""minQty"":1000,""maxQty"":null,""price"":15.99}]","{""boxes"": []}"
PROD014,Lightweight T-Shirt - Black,K540-BLACK,Lightweight black t-shirt with custom logo,K540_Black_Flat_Front-01_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":27.99},{""minQty"":50,""maxQty"":249,""price"":24.99},{""minQty"":250,""maxQty"":999,""price"":21.99},{""minQty"":1000,""maxQty"":null,""price"":18.99}]","{""boxes"": []}"
PROD015,Nike Dri-FIT T-Shirt - Black,NKCY9963-BLACK,Nike Dri-FIT performance t-shirt with custom logo,NKDC1963_Black_Flat_Front-01_right_chest.png,"[{""minQty"":1,""maxQty"":24,""price"":44.99},{""minQty"":25,""maxQty"":99,""price"":40.99},{""minQty"":100,""maxQty"":499,""price"":36.99},{""minQty"":500,""maxQty"":null,""price"":32.99}]","{""boxes"": []}"
PROD016,Performance T-Shirt - Black,PC78SP-BLACK,Performance jet black t-shirt with custom logo,PC78SP_JET BLACK_Flat_Front-01_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":31.99},{""minQty"":50,""maxQty"":249,""price"":28.99},{""minQty"":250,""maxQty"":999,""price"":25.99},{""minQty"":1000,""maxQty"":null,""price"":22.99}]","{""boxes"": []}"
PROD017,Tri-Blend T-Shirt - Black,TL1763H-BLACK,Tri-blend black t-shirt with custom logo,TLJ763H_Black_Flat_Front-01_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":34.99},{""minQty"":50,""maxQty"":249,""price"":31.99},{""minQty"":250,""maxQty"":999,""price"":27.99},{""minQty"":1000,""maxQty"":null,""price"":24.99}]","{""boxes"": []}"
PROD018,Tri-Blend T-Shirt - Duck Brown,TL1763H-DUCKBROWN,Tri-blend duck brown t-shirt with custom logo,TLJ763H_Duck Brown_Flat_Front-01_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":34.99},{""minQty"":50,""maxQty"":249,""price"":31.99},{""minQty"":250,""maxQty"":999,""price"":27.99},{""minQty"":1000,""maxQty"":null,""price"":24.99}]","{""boxes"": []}"
PROD019,Grey Steel T-Shirt - Orange Logo,C112-GREYSTEEL,Grey steel t-shirt with neon orange custom logo,C112_greysteelneonorange_full_front-01_right_chest.png,"[{""minQty"":1,""maxQty"":49,""price"":28.99},{""minQty"":50,""maxQty"":249,""price"":25.99},{""minQty"":250,""maxQty"":999,""price"":22.99},{""minQty"":1000,""maxQty"":null,""price"":19.99}]","{""boxes"": []}"
PROD020,Classic Polo - Black,C932-BLACK,Classic black polo shirt with embroidered logo,C932_Black_Flat_Front-01_right_chest.png,"[{""minQty"":1,""maxQty"":19,""price"":39.99},{""minQty"":20,""maxQty"":99,""price"":35.99},{""minQty"":100,""maxQty"":499,""price"":31.99},{""minQty"":500,""maxQty"":null,""price"":27.99}]","{""boxes"": []}"